brand,processor,ram,video-card,memory,price
Hp,Intel Core i5,8,Intel Iris Xe Graphics,512,30039
Hp,AMD Ryzen 5,16,AMD Radeon 740M,512,47069
Hp,AMD Ryzen 9,32,AMD Radeon Graphics,1024,71739
Hp,Intel Core i7,16,Intel UHD Graphics,1024,59529
Hp,AMD Ryzen 7,16,AMD Radeon Graphics,1024,55749
Hp,Intel Core i5,8,Intel Iris Xe Graphics,512,29389
Lenovo,AMD Ryzen 5,16,AMD Radeon Graphics,512,25199
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4070,1024,69509
Lenovo,Intel Core i5,8,Intel UHD Graphics,512,30389
Hp,Intel Core i5,16,Intel Iris Xe Graphics,512,36689
Lenovo,Intel Core i5,8,Intel Iris Xe Graphics,256,34429
Lenovo,AMD Ryzen 7,16,AMD Radeon Graphics,512,37849
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4070,1024,69509
MSI,Intel Core i7,32,Nvidia GeForce RTX™ 4050,1024,70709
MSI,Intel Core Ultra 7,32,Intel Arc Graphics,1024,66039
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4050,512,51139
Hp,AMD Ryzen 5,8,AMD Radeon 660M Graphics,512,49289
Hp,AMD Ryzen 5,8,AMD Radeon 660M Graphics,512,51269
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,37779
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4050,1024,54619
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,28539
Lenovo,Intel Core i5,8,Intel UHD Graphics,512,40759
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4050,512,53459
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4050,1024,55029
MSI,Intel Core i5,16,Nvidia GeForce RTX™ 4060,1024,56339
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4060,512,53979
MSI,Intel Core i7,16,Intel Iris Xe Graphics,1024,49649
MSI,Intel Core i5,16,Nvidia GeForce RTX™ 4060,512,54939
